,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,question.1,  .1,letrec.1,-----------.1,f.1,lambda.1,x.1,cons.1,if.1,=.1,modulo.1,x.2,3.1,0.1,*.1,x.3,2.1,x.4,lambda.2,().1,f.2,+.1,x.5,1.1,).1,).2,).3,).4,].1,).5,lambda.3,().2,f.3,1.2,).6,).7,).8,question,code,choices
0,57,34,510341614575,3598396726,1,1,"(0.4473184049129486, 0.16447992622852325)","(0.44169881939888, 0.24519623816013336)",1,1,2.580902099609375,2.655731201171875,"(-32.56739807128906, 11.320387840270996, 522.895751953125)","(26.260879516601562, 14.749272346496582, 520.3395385742188)","(-19.822477340698242, 170.1122589111328, 51.27401351928711)","(-21.76418685913086, 155.37049865722656, 45.90843200683594)",POINT (0.4445086121559143 0.2048380821943283),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341631241,3598413392,1,1,"(0.33828219771385193, 0.14500252902507782)","(0.3576071858406067, 0.17935296893119812)",1,1,2.64599609375,2.67889404296875,"(-32.7717170715332, 11.432716369628906, 523.3851318359375)","(26.016328811645508, 14.893510818481445, 520.5458984375)","(-57.49723815917969, 173.6695556640625, 52.56874465942383)","(-50.81997299194336, 167.39588928222656, 50.28535842895508)",POINT (0.3479446917772293 0.162177748978138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,57,34,510341647911,3598430061,1,1,"(0.3057120144367218, 0.178320974111557)","(0.30276408791542053, 0.2204928994178772)",1,1,2.6398468017578125,2.6715545654296875,"(-33.025474548339844, 11.430923461914062, 523.93896484375)","(25.702617645263672, 14.97189998626709, 520.8794555664062)","(-68.75105285644531, 167.58436584472656, 50.35393524169922)","(-69.76964569091797, 159.8822479248047, 47.55057907104492)",POINT (0.3042380511760712 0.1994069367647171),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341664579,3598446729,1,1,"(0.3154638707637787, 0.16490444540977478)","(0.32046258449554443, 0.19887836277484894)",1,1,2.613800048828125,2.6615447998046875,"(-33.063697814941406, 11.456375122070312, 523.7747802734375)","(25.69753074645996, 14.98710823059082, 520.7896118164062)","(-65.38155364990234, 170.03472900390625, 51.245792388916016)","(-63.65436935424805, 163.82984924316406, 48.98738479614258)",POINT (0.3179632276296616 0.1818914040923119),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341681246,3598463395,1,1,"(0.3109939694404602, 0.16723720729351044)","(0.3009487986564636, 0.21432603895664215)",1,1,2.6239776611328125,2.663558959960937,"(-33.12113952636719, 11.465171813964844, 523.8221435546875)","(25.666500091552734, 15.020207405090332, 520.87451171875)","(-66.9260025024414, 169.60867309570312, 51.090728759765625)","(-70.3968734741211, 161.00852966308594, 47.96051788330078)",POINT (0.3059713840484619 0.1907816231250763),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341697913,3598480062,1,1,"(0.31010571122169495, 0.16019578278064728)","(0.3044430613517761, 0.20550839602947235)",1,1,2.61395263671875,2.6434783935546875,"(-33.16763687133789, 11.435413360595703, 523.6720581054688)","(25.59673500061035, 14.991869926452637, 520.6610717773438)","(-67.2329330444336, 170.89471435546875, 51.55878448486328)","(-69.18952941894531, 162.61895751953125, 48.546661376953125)",POINT (0.3072743862867355 0.1828520894050598),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341714580,3598496728,1,1,"(0.3060363531112671, 0.1645502895116806)","(0.31053709983825684, 0.20336809754371643)",1,1,2.5794677734375,2.640243530273437,"(-33.21922302246094, 11.398253440856934, 523.7589111328125)","(25.562360763549805, 14.955092430114746, 520.6561279296875)","(-68.63899230957031, 170.0994110107422, 51.269317626953125)","(-67.08387756347656, 163.00985717773438, 48.68893814086914)",POINT (0.308286726474762 0.1839591935276985),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341731247,3598513395,1,1,"(0.30803382396698, 0.16604676842689514)","(0.3078441023826599, 0.19627158343791962)",1,1,2.589874267578125,2.64569091796875,"(-33.24887466430664, 11.337325096130371, 523.8914794921875)","(25.53896713256836, 14.873329162597656, 520.559814453125)","(-67.9488296508789, 169.82611083984375, 51.169857025146484)","(-68.01437377929688, 164.30593872070312, 49.16069030761719)",POINT (0.30793896317482 0.1811591759324074),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341747915,3598530062,1,1,"(0.3052658438682556, 0.1678113043308258)","(0.30380716919898987, 0.2015869915485382)",1,1,2.59490966796875,2.6366424560546875,"(-33.25682830810547, 11.278421401977539, 523.930419921875)","(25.53843116760254, 14.81867504119873, 520.59765625)","(-68.90522003173828, 169.50384521484375, 51.052555084228516)","(-69.40923309326172, 163.3351593017578, 48.80732345581055)",POINT (0.3045365065336227 0.184699147939682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57,34,510341764581,3598546728,1,1,"(0.3113914728164673, 0.16642116010189056)","(0.3055638074874878, 0.20432955026626587)",1,1,2.5844268798828125,2.645004272460937,"(-33.26324462890625, 11.227250099182129, 524.013916015625)","(25.54170036315918, 14.775728225708008, 520.6275634765625)","(-66.78865814208984, 169.75772094726562, 51.144981384277344)","(-68.80227661132812, 162.83425903320312, 48.62501907348633)",POINT (0.3084776401519775 0.1853753551840782),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
