,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,complex-seq.1,start.1,end.1,operator1.1,operator2.1,  .1,if.1,>.1,start.2,end.2,'.1,().1,      .1,cons.1,start.3,complex-seq.2,+.1,*.1,start.4,operator2.2,operator2.3,end.3,operator1.2,operator2.4,).1,).2,).3,question,code,choices
0,38,29,687427430700,1065842687,1,1,"(0.26757365465164185, 0.16692033410072327)","(0.20023328065872192, 0.1619092971086502)",1,1,3.130722045898437,3.066650390625,"(-37.60597610473633, 34.7460823059082, 553.02490234375)","(23.975879669189453, 37.75840759277344, 550.1708984375)","(-81.9288330078125, 169.6665496826172, 51.11180114746094)","(-105.1966323852539, 170.58175659179688, 51.444908142089844)",POINT (0.2339034676551819 0.1644148156046867),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,29,687427447368,1065859354,1,1,"(0.2651779353618622, 0.1537598967552185)","(0.19727346301078796, 0.1461469829082489)",1,1,3.100982666015625,3.038436889648437,"(-37.554168701171875, 34.739540100097656, 553.0565185546875)","(24.023622512817383, 37.719444274902344, 549.9741821289062)","(-82.75660705566406, 172.07015991210938, 51.98657989501953)","(-106.21931457519531, 173.46054077148438, 52.49264144897461)",POINT (0.2312256991863251 0.1499534398317337),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427464034,1065876020,1,1,"(0.2602859139442444, 0.1667308807373047)","(0.20598730444908142, 0.15422219038009644)",1,1,3.10040283203125,3.040130615234375,"(-37.47891616821289, 34.718589782714844, 552.92919921875)","(24.07430648803711, 37.71287155151367, 550.1725463867188)","(-84.44693756103516, 169.70115661621094, 51.124359130859375)","(-103.20846557617188, 171.98570251464844, 51.95591354370117)",POINT (0.2331366091966629 0.1604765355587006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427480705,1065892690,1,1,"(0.26533204317092896, 0.15220031142234802)","(0.19988182187080383, 0.155704528093338)",1,1,3.088531494140625,3.03228759765625,"(-37.44058609008789, 34.71393966674805, 553.0025634765625)","(24.129241943359375, 37.69681167602539, 550.2701416015625)","(-82.703369140625, 172.35496520996094, 52.09029006958008)","(-105.31806945800781, 171.71498107910156, 51.857337951660156)",POINT (0.2326069325208664 0.153952419757843),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427497372,1065909357,1,1,"(0.27015215158462524, 0.16456474363803864)","(0.20605240762233734, 0.1502336710691452)",1,1,3.0929412841796875,3.013671875,"(-37.4035758972168, 34.6832275390625, 553.0594482421875)","(24.17672348022461, 37.64743423461914, 550.1240844726562)","(-81.03790283203125, 170.09677124023438, 51.26839065551758)","(-103.18598937988281, 172.71417236328125, 52.22100830078125)",POINT (0.2381022796034813 0.1573992073535919),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427514042,1065926026,1,1,"(0.2635171711444855, 0.15852800011634827)","(0.1957596242427826, 0.18136683106422424)",1,1,3.10614013671875,3.062606811523437,"(-37.33761215209961, 34.61858367919922, 552.9981689453125)","(24.22848129272461, 37.590606689453125, 550.060791015625)","(-83.3304443359375, 171.1992950439453, 51.669673919677734)","(-106.74239349365234, 167.02809143066406, 50.15145492553711)",POINT (0.229638397693634 0.1699474155902862),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,29,687427530708,1065942692,1,1,"(0.2643563151359558, 0.1685430109500885)","(0.205299511551857, 0.14851684868335724)",1,1,3.150253295898437,3.013275146484375,"(-37.26750564575195, 34.556060791015625, 552.8779907226562)","(24.29201889038086, 37.52565002441406, 550.2247924804688)","(-83.04049682617188, 169.3701934814453, 51.00394058227539)","(-103.44612884521484, 173.0277099609375, 52.335140228271484)",POINT (0.2348279133439064 0.1585299298167229),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427547375,1065959358,1,1,"(0.26236629486083984, 0.16069169342517853)","(0.20043529570102692, 0.13993899524211884)",1,1,3.1191558837890625,2.995147705078125,"(-37.219017028808594, 34.54004669189453, 552.9520263671875)","(24.362857818603516, 37.46429443359375, 550.0018310546875)","(-83.72810363769531, 170.8041534423828, 51.52580261230469)","(-105.12682342529297, 174.59432983398438, 52.90535354614258)",POINT (0.2314007952809334 0.1503153443336487),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427564043,1065976026,1,1,"(0.31162893772125244, 0.15598413348197937)","(0.23935914039611816, 0.15192951261997223)",1,1,3.095733642578125,3.00640869140625,"(-36.97602462768555, 34.512603759765625, 552.818359375)","(24.577316284179688, 37.413753509521484, 549.9359130859375)","(-66.70661926269531, 171.66392517089844, 51.8387451171875)","(-91.67766571044922, 172.40443420410156, 52.108306884765625)",POINT (0.2754940390586853 0.1539568230509758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427580710,1065992692,1,1,"(0.3205374777317047, 0.14603717625141144)","(0.2594221532344818, 0.14078260958194733)",1,1,3.084320068359375,2.982940673828125,"(-36.78374481201172, 34.502376556396484, 552.696044921875)","(24.751779556274414, 37.36213684082031, 549.9068603515625)","(-63.62849426269531, 173.4805908203125, 52.499961853027344)","(-84.7453842163086, 174.44027709960938, 52.8492546081543)",POINT (0.2899798154830933 0.1434098929166794),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,38,29,687427597377,1066009359,1,1,"(0.31975388526916504, 0.17334029078483582)","(0.2648405432701111, 0.11518698185682297)",1,1,3.116928100585937,2.959091186523437,"(-36.710994720458984, 34.512203216552734, 552.7554931640625)","(24.830482482910156, 37.36152648925781, 550.2040405273438)","(-63.89925003051758, 168.49404907226562, 50.68504333496094)","(-82.87319946289062, 179.114990234375, 54.55069351196289)",POINT (0.2922972142696381 0.1442636363208294),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
